ts,avg_count
2025-07-30 10:01:00+00:00,2.0
2025-07-30 10:02:00+00:00,2.1857142857142855
2025-07-30 10:03:00+00:00,1.0
2025-07-30 10:04:00+00:00,0.0
2025-07-30 10:05:00+00:00,0.0
2025-07-30 10:06:00+00:00,0.0
2025-07-30 10:07:00+00:00,0.0
2025-07-30 10:08:00+00:00,0.0
2025-07-30 10:09:00+00:00,0.0
2025-07-30 10:10:00+00:00,0.0
2025-07-30 10:11:00+00:00,0.0
2025-07-30 10:12:00+00:00,0.0
2025-07-30 10:13:00+00:00,0.0
2025-07-30 10:14:00+00:00,0.0
2025-07-30 10:15:00+00:00,0.0
2025-07-30 10:16:00+00:00,0.0
2025-07-30 10:17:00+00:00,0.0
2025-07-30 10:18:00+00:00,0.0
2025-07-30 10:19:00+00:00,0.0
2025-07-30 10:20:00+00:00,0.0
2025-07-30 10:21:00+00:00,0.0
2025-07-30 10:22:00+00:00,0.0
2025-07-30 10:23:00+00:00,0.0
2025-07-30 10:24:00+00:00,0.0
2025-07-30 10:25:00+00:00,0.0
2025-07-30 10:26:00+00:00,0.0
2025-07-30 10:27:00+00:00,0.0
2025-07-30 10:28:00+00:00,0.0
2025-07-30 10:29:00+00:00,0.0
2025-07-30 10:30:00+00:00,0.0
2025-07-30 10:31:00+00:00,0.0
2025-07-30 10:32:00+00:00,0.0
2025-07-30 10:33:00+00:00,0.0
2025-07-30 10:34:00+00:00,0.0
2025-07-30 10:35:00+00:00,0.0
2025-07-30 10:36:00+00:00,0.0
2025-07-30 10:37:00+00:00,0.0
2025-07-30 10:38:00+00:00,0.0
2025-07-30 10:39:00+00:00,0.0
2025-07-30 10:40:00+00:00,0.0
2025-07-30 10:41:00+00:00,0.0
2025-07-30 10:42:00+00:00,0.0
2025-07-30 10:43:00+00:00,0.0
2025-07-30 10:44:00+00:00,0.0
2025-07-30 10:45:00+00:00,0.0
2025-07-30 10:46:00+00:00,0.0
2025-07-30 10:47:00+00:00,0.0
2025-07-30 10:48:00+00:00,0.0
2025-07-30 10:49:00+00:00,0.0
2025-07-30 10:50:00+00:00,0.0
2025-07-30 10:51:00+00:00,0.0
2025-07-30 10:52:00+00:00,0.0
2025-07-30 10:53:00+00:00,0.0
2025-07-30 10:54:00+00:00,0.0
2025-07-30 10:55:00+00:00,0.0
2025-07-30 10:56:00+00:00,0.0
2025-07-30 10:57:00+00:00,0.0
2025-07-30 10:58:00+00:00,0.0
2025-07-30 10:59:00+00:00,0.0
2025-07-30 11:00:00+00:00,0.0
2025-07-30 11:01:00+00:00,0.0
2025-07-30 11:02:00+00:00,0.0
2025-07-30 11:03:00+00:00,0.0
2025-07-30 11:04:00+00:00,0.0
2025-07-30 11:05:00+00:00,0.0
2025-07-30 11:06:00+00:00,0.0
2025-07-30 11:07:00+00:00,0.0
2025-07-30 11:08:00+00:00,0.0
2025-07-30 11:09:00+00:00,0.0
2025-07-30 11:10:00+00:00,0.0
2025-07-30 11:11:00+00:00,0.0
2025-07-30 11:12:00+00:00,0.0
2025-07-30 11:13:00+00:00,0.0
2025-07-30 11:14:00+00:00,0.0
2025-07-30 11:15:00+00:00,0.0
2025-07-30 11:16:00+00:00,0.0
2025-07-30 11:17:00+00:00,0.0
2025-07-30 11:18:00+00:00,0.0
2025-07-30 11:19:00+00:00,0.0
2025-07-30 11:20:00+00:00,0.0
2025-07-30 11:21:00+00:00,0.0
2025-07-30 11:22:00+00:00,0.0
2025-07-30 11:23:00+00:00,0.0
2025-07-30 11:24:00+00:00,0.0
2025-07-30 11:25:00+00:00,0.0
2025-07-30 11:26:00+00:00,0.0
2025-07-30 11:27:00+00:00,0.0
2025-07-30 11:28:00+00:00,0.0
2025-07-30 11:29:00+00:00,0.0
2025-07-30 11:30:00+00:00,0.0
2025-07-30 11:31:00+00:00,0.0
2025-07-30 11:32:00+00:00,0.0
2025-07-30 11:33:00+00:00,0.0
2025-07-30 11:34:00+00:00,0.0
2025-07-30 11:35:00+00:00,0.0
2025-07-30 11:36:00+00:00,0.0
2025-07-30 11:37:00+00:00,0.0
2025-07-30 11:38:00+00:00,0.0
2025-07-30 11:39:00+00:00,0.0
2025-07-30 11:40:00+00:00,0.0
2025-07-30 11:41:00+00:00,0.0
2025-07-30 11:42:00+00:00,0.0
2025-07-30 11:43:00+00:00,0.0
2025-07-30 11:44:00+00:00,0.0
2025-07-30 11:45:00+00:00,0.0
2025-07-30 11:46:00+00:00,0.0
2025-07-30 11:47:00+00:00,0.0
2025-07-30 11:48:00+00:00,0.0
2025-07-30 11:49:00+00:00,0.0
2025-07-30 11:50:00+00:00,0.0
2025-07-30 11:51:00+00:00,0.0
2025-07-30 11:52:00+00:00,0.0
2025-07-30 11:53:00+00:00,1.0
